time,technology,spatial,0
2,Solar,UKH2,0.0
2,Solar,UKH3,0.0
2,Solar,UKI3,
2,Solar,UKI4,
2,Solar,UKI5,
2,Solar,UKI6,
2,Solar,UKI7,
2,Solar,UKJ1,0.0
2,Solar,UKJ2,0.0
2,Solar,UKJ3,0.0
2,Solar,UKJ4,0.0
2,Solar,UKK1,0.0
2,Solar,UKK2,0.0
2,Solar,UKK3,0.0
2,Solar,UKK4,0.0
2,Solar,UKL1,0.0
2,Solar,UKL2,0.0
2,Solar,UKM5,0.0
2,Solar,UKM6,0.0
2,Solar,UKM7,0.0
2,Solar,UKM8,0.0
2,Solar,UKM9,0.0
2,Solar,UKN0,0.0
3,Solar,AT11,0.0
3,Solar,AT12,0.0
3,Solar,AT13,0.0
3,Solar,AT21,0.0
3,Solar,AT22,0.0
3,Solar,AT31,0.0
3,Solar,AT32,0.0
3,Solar,AT33,0.0
3,Solar,AT34,0.0
3,Solar,BE10,
3,Solar,BE21,0.0
3,Solar,BE22,0.0
3,Solar,BE23,0.0
3,Solar,BE24,0.0
3,Solar,BE25,0.0
3,Solar,BE31,0.0
3,Solar,BE32,0.0
3,Solar,BE33,0.0
3,Solar,BE34,0.0
3,Solar,BE35,0.0
3,Solar,BG31,0.0
3,Solar,BG32,0.0
3,Solar,BG33,0.0
3,Solar,BG34,0.0
3,Solar,BG41,0.0
3,Solar,BG42,0.0
3,Solar,CH01,0.0
3,Solar,CH02,0.0
3,Solar,CH03,0.0
3,Solar,CH04,0.0
3,Solar,CH05,0.0
3,Solar,CH06,0.0
3,Solar,CH07,0.0
3,Solar,CZ01,0.0
3,Solar,CZ02,0.0
3,Solar,CZ03,0.0
3,Solar,CZ04,0.0
3,Solar,CZ05,0.0
3,Solar,CZ06,0.0
3,Solar,CZ07,0.0
3,Solar,CZ08,0.0
3,Solar,DE11,0.0
3,Solar,DE12,0.0
3,Solar,DE13,0.0
3,Solar,DE14,0.0
3,Solar,DE21,0.0
3,Solar,DE22,0.0
3,Solar,DE23,0.0
3,Solar,DE24,0.0
3,Solar,DE25,0.0
3,Solar,DE26,0.0
3,Solar,DE27,0.0
3,Solar,DE30,0.0
3,Solar,DE40,0.0
3,Solar,DE50,
3,Solar,DE60,0.0
3,Solar,DE71,0.0
3,Solar,DE72,0.0
3,Solar,DE73,0.0
3,Solar,DE80,0.0
3,Solar,DE91,0.0
3,Solar,DE92,0.0
3,Solar,DE93,0.0
3,Solar,DE94,0.0
3,Solar,DEA1,0.0
3,Solar,DEA2,0.0
3,Solar,DEA3,0.0
3,Solar,DEA4,0.0
3,Solar,DEA5,0.0
3,Solar,DEB1,0.0
3,Solar,DEB2,0.0
3,Solar,DEB3,0.0
3,Solar,DEC0,0.0
3,Solar,DED2,0.0
3,Solar,DED4,0.0
3,Solar,DED5,0.0
3,Solar,DEE0,0.0
3,Solar,DEF0,0.0
3,Solar,DEG0,0.0
3,Solar,DK01,0.0
3,Solar,DK02,0.0
3,Solar,DK03,0.0
3,Solar,DK04,0.0
3,Solar,DK05,0.0
3,Solar,EE00,0.0
3,Solar,ES11,0.0
3,Solar,ES12,0.0
3,Solar,ES13,0.0
3,Solar,ES21,0.0
3,Solar,ES22,0.0
3,Solar,ES23,0.0
3,Solar,ES24,0.0
3,Solar,ES30,0.0
3,Solar,ES41,0.0
3,Solar,ES42,0.0
3,Solar,ES43,0.0
3,Solar,ES51,0.0
3,Solar,ES52,0.0
3,Solar,ES53,0.0
3,Solar,ES61,0.0
3,Solar,ES62,0.0
3,Solar,ES63,
3,Solar,FI19,0.0
3,Solar,FI1B,0.0
3,Solar,FI1C,0.0
3,Solar,FI1D,0.0
3,Solar,FI20,0.0
3,Solar,FR10,0.0
3,Solar,FRB0,0.0
3,Solar,FRC1,0.0
3,Solar,FRC2,0.0
3,Solar,FRD1,0.0
3,Solar,FRD2,0.0
3,Solar,FRE1,0.0
3,Solar,FRE2,0.0
3,Solar,FRF1,0.0
3,Solar,FRF2,0.0
3,Solar,FRF3,0.0
3,Solar,FRG0,0.0
3,Solar,FRH0,0.0
3,Solar,FRI1,0.0
3,Solar,FRI2,0.0
